key;en;de;fr;es
app.title;Journalitea;Journalitea;Journalitea;Journalitea
header.title_my_teas;My Teas;Meine Tees;Mes thés;Mis tés
header.title_create_record;New Record;Neuer Eintrag;Nouvelle fiche;Nuevo registro
header.title_edit_record;Edit Record;Eintrag bearbeiten;Modifier la fiche;Editar registro
header.title_view_record;View Record;Eintrag ansehen;Voir la fiche;Ver registro
header.title_stats;Stats for Nerds;Statistiken für Nerds;Stats pour les passionnés;Estadísticas para nerds
header.title_timer;Tea Timer;Teetimer;Minuteur à thé;Temporizador de té
header.title_settings;Settings;Einstellungen;Paramètres;Ajustes
header.title_about;About;Über;À propos;Acerca de
menu.item_my_teas;My Teas;Meine Tees;Mes thés;Mis tés
menu.item_stats;Stats for Nerds;Statistiken für Nerds;Stats pour les passionnés;Estadísticas para nerds
menu.item_timer;Tea Timer;Teetimer;Minuteur à thé;Temporizador de té
menu.item_settings;Settings;Einstellungen;Paramètres;Ajustes
menu.item_about;About;Über diese App;À propos de cette appli;Acerca de esta aplicación
create.title;Create new Record;Neuen Eintrag erstellen;Créer une nouvelle fiche;Crear un nuevo registro
list.title;My Tea Records;Meine Tee-Einträge;Mes fiches de thé;Mis registros de té
list.create_button;Create;Erstellen;Créer;Crear
list.loading;Loading records...;Lade Einträge...;Chargement des fiches...;Cargando registros...
list.no_records;No records found. Click the "Create" button to add your first tea;Keine Einträge gefunden. Klicke auf die Schaltfläche "Erstellen", um deinen ersten Tee hinzuzufügen;Aucune fiche trouvée. Cliquez sur « Créer » pour ajouter votre premier thé;No se encontraron registros. Pulsa « Crear » para añadir tu primer té
list.search_placeholder;Search teas;Tees suchen;Rechercher des thés;Buscar tés
list.filter_year_label;Filter by date;Nach Datum filtern;Filtrer par date;Filtrar por fecha
list.filter_year_all;All years;Alle Jahre;Toutes les années;Todos los años
list.scroll_to_top;Scroll to top;Nach oben scrollen;Retour en haut;Ir arriba
list.load_more;Load more tea;Mehr Tee laden;Charger plus de thés;Cargar más té
list.loading_more;Loading more tea...;Lade mehr Tee...;Chargement de plus de thés...;Cargando más té...
list.end_of_list;no more tea :(;kein Tee mehr :(;plus de thé :(;no hay más té :(
edit.title;Edit Record;Eintrag bearbeiten;Modifier la fiche;Editar registro
edit.name_label;Name;Name;Nom;Nombre
edit.type_label;Type;Typ;Type;Tipo
edit.subtype_label;Subtype;Untertyp;Sous-type;Subtipo
edit.seller_label;Seller;Verkäufer;Vendeur;Vendedor
edit.origin_label;Origin;Herkunft;Origine;Origen
edit.year_label;Year;Jahr;Année;Año
edit.price_label;Price;Preis;Prix;Precio
edit.weight_label;Net Weight;Menge;Poids net;Peso neto
edit.preparation_label;Preparation;Zubereitung;Préparation;Preparación
edit.preparation_method_label;Method;Methode;Méthode;Método
edit.preparation_notes_label;Preparation Notes;Zubereitungsnotizen;Notes de préparation;Notas de preparación
edit.dry_leaves_label;Dry Leaves;Trockene Blätter;Feuilles sèches;Hojas secas
edit.wet_leaves_label;Wet Leaves;Nasse Blätter;Feuilles infusées;Hojas húmedas
edit.liquor_label;Liquor;Aufguss;Liqueur;Licor
edit.color_label;Color;Farbe;Couleur;Color
edit.aromas_label;Aromas;Aromen;Arômes;Aromas
edit.notes_rating_title;Notes & Rating;Notizen & Bewertung;Notes et note;Notas y valoración
edit.photo_label;Photo;Foto;Photo;Foto
edit.photo_hint;One photo per record for now. You can replace it at any time.;Vorerst ist pro Eintrag nur ein Foto moeglich. Sie koennen es jederzeit ersetzen.;Pour le moment une seule photo par fiche. Vous pouvez la remplacer à tout moment.;Por ahora solo se puede añadir una foto por registro. Puedes sustituirla en cualquier momento.
photo.open_viewer;Open photo fullscreen;Foto im Vollbild oeffnen;Ouvrir la photo en plein écran;Abrir foto a pantalla completa
photo.close_viewer;Close photo viewer;Fotoansicht schliessen;Fermer la visionneuse;Cerrar visor de fotos
photo.zoom_viewer;Zoom photo;Foto zoomen;Zoomer sur la photo;Ampliar foto
photo.image_error;The photo cannot be loaded.;Das Foto kann nicht geladen werden.;Impossible de charger la photo.;No se puede cargar la foto.
edit.photo_add_button;Add photo;Foto hinzufuegen;Ajouter une photo;Añadir foto
edit.photo_replace_button;Replace photo;Foto ersetzen;Remplacer la photo;Sustituir foto
edit.photo_take_button;Take photo;Foto aufnehmen;Prendre une photo;Tomar foto
edit.photo_remove_button;Remove photo;Foto entfernen;Supprimer la photo;Eliminar foto
edit.photo_empty;No photo selected yet.;Noch kein Foto ausgewaehlt.;Aucune photo sélectionnée.;Aún no se ha seleccionado ninguna foto.
edit.photo_error_generic;Photo action failed.;Fotoaktion fehlgeschlagen.;L’action sur la photo a échoué.;La acción de foto ha fallado.
edit.notes_label;Notes;Notizen;Notes;Notas
edit.rating_label;Rating;Bewertung;Note;Valoración
edit.cancel_button;Cancel;Abbrechen;Annuler;Cancelar
edit.create_button;Create;Erstellen;Créer;Crear
edit.update_button;Update;Aktualisieren;Mettre à jour;Actualizar
edit.cancel_confirm_title;Discard changes?;Änderungen verwerfen?;Abandonner les modifications ?;¿Descartar los cambios?
edit.cancel_confirm_message;You have unsaved changes. Do you want to leave without saving?;Sie haben ungespeicherte Änderungen. Möchten Sie die Seite ohne Speichern verlassen?;Vous avez des modifications non enregistrées. Voulez-vous quitter sans les enregistrer ?;Tienes cambios sin guardar. ¿Quieres salir sin guardarlos?
edit.cancel_confirm_confirm;Leave;Verlassen;Quitter;Salir
edit.cancel_confirm_cancel;Stay;Bleiben;Rester;Quedarse
enum.type_green;Green;Grün;Vert;Verde
enum.type_black;Black;Schwarz;Noir;Negro
enum.type_oolong;Oolong;Oolong;Oolong;Oolong
enum.type_white;White;Weiß;Blanc;Blanco
enum.type_dark;Dark;Dunkel;Sombre;Oscuro
enum.type_yellow;Yellow;Gelb;Jaune;Amarillo
enum.type_puer;Pu'er;Pu'er;Pu-erh;Pu-erh
enum.type_herbal;Herbal;Kräuter;Tisane;Infusión
enum.type_other;Other;Andere;Autre;Otro
enum.preparation_western;Western;Westlich;Occidentale;Occidental
enum.preparation_gaiwan;Gaiwan;Gaiwan;Gaiwan;Gaiwan
enum.preparation_teapot;Teapot;Teekännchen;Théière;Tetera
enum.preparation_teabag;Teabag;Teebeutel;Sachet de thé;Bolsa de té
enum.preparation_coldbrew;Cold Brew;Cold Brew;Infusion à froid;Infusión en frío
enum.preparation_other;Other;Andere Zubereitung;Autre méthode;Otro método
enum.aromas_sweet;Sweet;Süß;Sucré;Dulce
enum.aromas_floral;Floral;Blumig;Floral;Floral
enum.aromas_nutty;Nutty;Nussig;Noisette;Frutos secos
enum.aromas_spicy;Spicy;Würzig;Épicé;Especiado
enum.aromas_fruity;Fruity;Fruchtig;Fruité;Afrutado
enum.aromas_fire;Fire / Animal;Feuer / Tierisch;Fumé / animal;Fuego / animal
enum.aromas_vegetal;Vegetables / Plants;Gemüse / Pflanzlich;Végétal;Vegetal
enum.aromas_earthy;Earthy;Erdig;Terreux;Terroso
enum.aromas_minerals;Mineral;Mineralisch;Minéral;Mineral
enum.aromas_marine;Marine;Maritim;Marin;Marino
enum.language_english;English;Englisch;Anglais;Inglés
enum.language_german;German;Deutsch;Allemand;Alemán
enum.language_french;French;Französisch;Français;Francés
enum.language_spanish;Spanish;Spanisch;Espagnol;Español
enum.weightunit_g;Grams;Gramm;Grammes;Gramos
enum.weightunit_oz;Ounces;Unzen;Onces;Onzas
enum.currency_eur;Euro (€);Euro (€);Euro (€);Euro (€)
enum.currency_usd;US Dollar ($);US Dollar ($);Dollar américain ($);Dólar estadounidense ($)
enum.currency_gbp;British Pound (£);Britisches Pfund (£);Livre sterling (£);Libra esterlina (£)
enum.currency_cny;Chinese Yuan (¥);Chinesischer Yuan (¥);Yuan chinois (¥);Yuan chino (¥)
enum.currency_jpy;Japanese Yen (¥);Japanischer Yen (¥);Yen japonais (¥);Yen japonés (¥)
enum.currency_inr;Indian Rupee (₹);Indische Rupie (₹);Roupie indienne (₹);Rupia india (₹)
enum.currency_hkd;Hong Kong Dollar (HK$);Hongkong-Dollar (HK$);Dollar de Hong Kong (HK$);Dólar de Hong Kong (HK$)
enum.currency_other;Other;Andere Währung;Autre devise;Otra moneda
settings.language_title;Language;Sprache;Langue;Idioma
settings.currency_settings_title;Currency Settings;Währungseinstellungen;Paramètres de devise;Ajustes de moneda
settings.currency_title;Preferred Currency;Hauptwährung;Devise préférée;Moneda preferida
settings.weightunit_title;Preferred Weight Unit;Bevorzugte Gewichtseinheit;Unité de poids préférée;Unidad de peso preferida
settings.origin_country_display_title;Display origin country separately;Herkunftsland getrennt anzeigen;Afficher le pays d’origine séparément;Mostrar el país de origen por separado
settings.origin_country_display_hint;When enabled, the last comma-separated entry is extracted as the origin country.;Wenn aktiviert, wird der letzte durch Kommas getrennte Eintrag als Herkunftsland verwendet.;Si cette option est activée la dernière entrée séparée par une virgule est utilisée comme pays d’origine.;Al activar esta opción la última entrada separada por comas se usa como país de origen.
settings.histogram_buckets_title;Histogram buckets;Histogramm-Buckets;Classes d’histogramme;Intervalos del histograma
settings.histogram_buckets_hint;Adjust bucket count for the Stats histograms;Bucket-Anzahl für die Statistik-Histogramme anpassen;Ajustez le nombre de classes des histogrammes de statistiques;Ajusta el número de intervalos de los histogramas de estadísticas
settings.custom_currency_name;Custom currency name;Name der benutzerdefinierten Währung;Nom de la devise personnalisée;Nombre de moneda personalizada
settings.custom_currency_name_placeholder;e.g. Tea Token;z. B. Tee-Taler;p. ex. Jeton de thé;p. ej. Ficha de té
settings.custom_currency_symbol;Custom currency symbol;Benutzerdefiniertes Währungssymbol;Symbole de devise personnalisée;Símbolo de moneda personalizada
settings.custom_currency_symbol_placeholder;e.g. TT;z. B. TT;p. ex. JT;p. ej. FT
settings.custom_currency_rate;Custom currency rate (to US$);Benutzerdefinierter Wechselkurs (zu US$);Taux de change personnalisé (vers US$);Tipo de cambio personalizado (a US$)
settings.custom_currency_rate_placeholder;e.g. 1.25;z. B. 1,25;p. ex. 1,25;p. ej. 1,25
settings.database_title;Local Database Import/Export;Lokaler Datenbank-Import/Export;Importation/exportation de la base locale;Importación/exportación de base de datos local
settings.database_export;Export database;Datenbank exportieren;Exporter la base de données;Exportar base de datos
settings.database_import;Import database;Datenbank importieren;Importer une base de données;Importar base de datos
settings.database_export_success_cap;Database export completed. The database and photo archive were saved in Documents. Would you like to share them?;Datenbank-Export abgeschlossen. Die Datenbank und das Fotoarchiv wurden in Dokumente gespeichert. Möchten Sie sie teilen?;Exportation terminée. La base de données et l’archive photo ont été enregistrées dans Documents. Voulez-vous les partager ?;La exportación ha terminado. La base de datos y el archivo de fotos se han guardado en Documentos. ¿Quieres compartirlos?
settings.database_export_success;Database export completed. You can find the exported file at;Datenbank-Export abgeschlossen. Die exportierte Datei finden Sie unter;Exportation terminée. Vous trouverez le fichier exporté ici :;La exportación ha terminado. Puedes encontrar el archivo exportado en
settings.database_export_photo_archive;Photo archive: {path};Fotoarchiv: {path};Archive photo : {path};Archivo de fotos: {path}
settings.database_export_success_title;Export complete;Export abgeschlossen;Exportation terminée;Exportación terminada
settings.database_export_error_title;Export failed;Export fehlgeschlagen;Échec de l’exportation;Error de exportación
settings.database_export_error;Database export failed.;Datenbank-Export fehlgeschlagen.;L’exportation de la base de données a échoué.;La exportación de la base de datos ha fallado.
settings.database_export_progress_title;Exporting database;Datenbank wird exportiert;Exportation de la base de données;Exportando base de datos
settings.database_export_progress_preparing;Preparing the database and photo archive...;Datenbank und Fotoarchiv werden vorbereitet...;Préparation de la base de données et de l’archive photo...;Preparando la base de datos y el archivo de fotos...
