key;en;de
app.title;Journalitea;Journalitea
app.title_full;Journalitea - Personal Tea Journal;Journalitea - Persönliches Tee-Tagebuch
popup.db_not_found_title;Hi There!;Hallo!
popup.db_not_found_body;It seems like you're using Journalitea for the first time.\nWould you like to create a new Database now?;Es scheint, als ob Sie Journalitea zum ersten Mal verwenden.\nMöchten Sie jetzt eine neue Datenbank erstellen?
popup.db_not_found_create_new;Create DB;Neue Datenbank\nErstellen
popup.db_not_found_load_external;Load External;Extern laden
splash.loading_title;getting things ready...;bereite alles vor...
header.title_main_menu;Journalitea;Journalitea
header.title_my_teas;My Teas;Meine Tees
header.title_create_record;New Record;Neuer Eintrag
header.title_edit_record;Edit Record;Eintrag bearbeiten
header.title_view_record;View Record;Eintrag ansehen
header.title_timer;Timer;Timer
header.title_stats;Stats for Nerds;Statistiken für Nerds
header.title_settings;Settings;Einstellungen
header.title_about;About;Über
menu.item_my_teas;My Teas;Meine Tees
menu.item_timer;Timer;Timer
menu.item_stats;Stats for Nerds;Statistiken für Nerds
menu.item_settings;Settings;Einstellungen
menu.item_about;About;Über diese App
create.record_title;Create new Record;Neuen Eintrag erstellen
edit.record_title;Edit Record;Eintrag bearbeiten
edit.record_name_label;Name;Name
edit.record_name_placeholder;Enter a name;Namen eingeben
edit.record_type_label;Type;Typ
edit.record_subtype_label;Subtype;Untertyp
edit.record_seller_label;Seller;Verkäufer
edit.record_origin_label;Origin;Herkunft
edit.record_year_label;Year;Jahr
edit.record_price_label;Price;Preis
edit.record_weight_label;Net Weight;Menge
edit.record_preparation_label;Preparation;Zubereitung
edit.record_preparation_notes_label;Preparation Notes;Zubereitungsnotizen
edit.record_dry_leaves_label;Dry Leaves;Trockene Blätter
edit.record_wet_leaves_label;Wet Leaves;Nasse Blätter
edit.record_liquor_label;Liquor;Aufguss
edit.record_color_label;Color;Farbe
edit.record_aromas_label;Aromas;Aromen
edit.record_notes_label;Notes;Notizen
edit.record_rating_label;Rating;Bewertung
edit.record_cancel_button;Cancel;Abbrechen
edit.record_create_button;Create;Erstellen
edit.record_update_button;Update;Aktualisieren
edit.record_quit_popup_title;Quit Editing;Bearbeitung beenden
edit.record_quit_popup_message;Are you sure you want to quit without saving?;Sind Sie sicher, dass Sie die Bearbeitung ohne zu speichern beenden möchten?
edit.record_quit_popup_cancel;Back;Zurück
edit.record_quit_popup_confirm;Quit;Beenden
view.record_edit_button;Edit;Bearbeiten
view.record_back_button;Back;Zurück
view.record_stats_title;Stats;Statistiken
view.record_aromas_title;Aromas;Aromen
view.record_observations_title;Observations;Beobachtungen
popup.delete_record_title;Delete Record;Eintrag löschen
popup.delete_record_body;Are you sure you want to delete this record?;Sind Sie sicher, dass Sie diesen Eintrag löschen möchten?
popup.delete_record_confirm;Delete;Bestätigen
popup.delete_record_cancel;Cancel;Abbrechen
record.button_created;created;erstellt am
enum.type_green;Green;Grün
enum.type_black;Black;Schwarz
enum.type_oolong;Oolong;Oolong
enum.type_white;White;Weiß
enum.type_dark;Dark;Dunkel
enum.type_yellow;Yellow;Gelb
enum.type_purple;Purple;Purpur
enum.type_herbal;Herbal;Kräuter
enum.type_other;Other;Andere
enum.method_western;Western;Westlich
enum.method_gaiwan;Gaiwan;Gaiwan
enum.method_teapot;Clay;Tonkanne
enum.method_tea_bag;Tea Bag;Teebeutel
enum.method_cold_brew;Cold Brew;Kalt
enum.method_other;Other;Andere
enum.aromas_sweet;Sweet;Süß
enum.aromas_floral;Floral;Blumig
enum.aromas_nutty;Nutty;Nussig
enum.aromas_spicy;Spicy;Würzig
enum.aromas_fruity;Fruity;Fruchtig
enum.aromas_fire;Fire /\nAnimal;Feuer /\nTierisch
enum.aromas_vegetal;Vegetables / Plants;Gemüse /\nPflanzlich
enum.aromas_earthy;Earthy;Erdig
enum.aromas_mineral;Mineral;Mineralisch
enum.aromas_marine;Marine;Maritim
enum.aromas_simple_spicy;Nutty /\nSpicy;Nussig-Würzig
enum.aromas_simple_earthy;Earth and Stone;Erde und Gestein
enum.aromas_simple_fire;Gamey;Tierisch
stats.cumulative_tab;Cumulative;Kumulativ
stats.aromas_tab;Aromas;Aromen
stats.origins_tab;Origins;Herkünfte
stats.histograms_tab;Histograms;Histogramme
stats.cumulative_title;Cumulative Stats;Kumulative Statistiken
stats.cumulative_total_price;Total Price;Gesamtpreis
stats.cumulative_total_weight;Total amount of tea bought;Gesamtmenge an gekauftem Tee
stats.cumulative_avg_price_100g;Average Price per 100g;Durchschnittspreis pro 100g
stats.cumulative_avg_price_oz;Average Price per oz;Durchschnittspreis pro Unze
stats.cumulative_most_popular_type;Most popular type of tea;Beliebteste Teesorte
stats.cumulative_most_expensive;Most expensive;Teuerster Tee
stats.histograms_title;Histograms;Histogramme
stats.histograms_absolute_title;Absolute Prices;Absolute Preise
stats.histograms_100g_title;Prices per 100g;Preise pro 100g
stats.histograms_oz_title;Prices per oz;Preise pro Unze
type.pie_chart_title;Separated by tea type:;Aufteilung nach Sorten:
type.pie_chart_legend;Types;Sorten
settings.language_title;Language;Sprache
settings.language_body;Select your preferred language;Wählen Sie Ihre bevorzugte Sprache
settings.viewmode_title;View Mode;Ansichtsmodus
settings.viewmode_body;Simple mode hides some text input fields and reduces the number of Aromas from 10 to 6.;Der einfache Modus blendet einige Texteingabefelder aus und reduziert die Anzahl der Aromen von 10 auf 6.
settings.viewmode_tooltip_full;Full;Vollständig
settings.viewmode_tooltip_simple;Simple;Vereinfacht
settings.timermode_title;Timer Mode;Timer-Modus
settings.timermode_body;Toggle between Western and Gongfu Mode for the tea timer. Will adjust presets and steps accordingly.;Wechseln Sie zwischen dem westlichen und dem Gongfu-Modus für den Teetimer. Die Voreinstellungen und Schritte werden entsprechend angepasst.
settings.timermode_tooltip_gongfu;Gongfu;Gongfu
settings.timermode_tooltip_western;Western;Westlich
settings.currency_title;Preferred Currency;Hauptwährung
